csv_transform,material_transform,target_transform,model,best_params,cv_score,test_r2,test_r2_inv
csv_log,material_norm_then_std,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.748855014530452,0.2972158977006504,0.29721461929960546
csv_log,material_norm_then_std,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.15898653705172489,0.21226719858442278,0.2121723223529408
csv_log,material_norm_then_std,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.18289559509728814,0.23328656026745676,0.23322443603683363
csv_norm_log,material_none,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.025502630799229764,0.11006756148376295,0.11006756148376295
csv_norm_log,material_none,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.07502961375798048,0.06837190549350192,0.06837190549350192
csv_norm_log,material_none,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.07634119222317085,0.057571450408551494,0.057571450408551494
csv_norm_log,material_none,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.01729896224852263,0.11089147910163011,0.08731674731414696
csv_norm_log,material_none,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.07867181850880811,0.08277212858370242,0.057239598854391116
csv_norm_log,material_none,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.07920647052678617,0.07162681683565442,0.046748576092177974
csv_norm_log,material_none,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.02544569750168313,0.11008491869793036,0.10996560336379779
csv_norm_log,material_none,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.0751146357754254,0.0683901182078468,0.06827288950718036
csv_norm_log,material_none,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.07632682941181324,0.05747006110818431,0.05735872419788768
csv_norm_log,material_none,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.025362749229458515,0.11011026478200159,0.10981931200681327
csv_norm_log,material_none,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.07273541978337897,0.07021354336789187,0.0699266681325762
csv_norm_log,material_none,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.07737302192235909,0.06227335259682276,0.061997871476554445
csv_norm_log,material_standardize,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.01582185958583062,0.06952123103235186,0.06952123103235186
csv_norm_log,material_standardize,target_none,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.04579563318636204,0.01951813424995774,0.01951813424995774
csv_norm_log,material_standardize,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.04804843492053139,0.06907655729344153,0.06907655729344153
csv_norm_log,material_standardize,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.013500353682137377,0.06000347279369245,0.04309061174009721
csv_norm_log,material_standardize,target_log,Lasso,{'regressor__alpha': np.float64(0.004641588833612777)},0.04541771045919849,0.013601710158314462,0.006829164471121696
csv_norm_log,material_standardize,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.5}",0.05609556630395809,0.06514932382276506,0.04995742484475829
csv_norm_log,material_standardize,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.015803989387278138,0.06948497283684307,0.06940439691088329
csv_norm_log,material_standardize,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.04657007716891124,0.019876393990284624,0.01986712039304339
csv_norm_log,material_standardize,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.04774568858825221,0.06945508309219528,0.06937845107582119
csv_norm_log,material_standardize,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.01577755513342092,0.06943657980131024,0.06923748204935942
csv_norm_log,material_standardize,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.026900645752137374,0.07246775340541634,0.07220949177242819
csv_norm_log,material_standardize,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.05646572426901251,0.05567380696614066,0.055542374426804875
csv_norm_log,material_normalize,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.021187301461172026,0.0640249382112189,0.0640249382112189
csv_norm_log,material_normalize,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.016081410334830924,0.05903380332697927,0.05903380332697927
csv_norm_log,material_normalize,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.021851614521529374,0.04881673393156183,0.04881673393156183
csv_norm_log,material_normalize,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.019493870134406066,0.05484071669801194,0.036853440540049354
csv_norm_log,material_normalize,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.018055085612846834,0.06807022677895092,0.04306142685278458
csv_norm_log,material_normalize,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.02201488808893486,0.05465833081324889,0.029670940499599063
csv_norm_log,material_normalize,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.021173669196455934,0.06399013362340678,0.06390438271443555
csv_norm_log,material_normalize,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.01619344680992609,0.058892002258998044,0.058770685262810485
csv_norm_log,material_normalize,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.021832030866941632,0.04873147350338769,0.048613849137736365
csv_norm_log,material_normalize,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.021153171673786452,0.06394389280117496,0.06373236513309155
csv_norm_log,material_normalize,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.46415888336127775)},0.019144866696948547,0.04083351539094393,0.04054949163894961
csv_norm_log,material_normalize,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.8}",0.02109802515469896,0.04569074493810921,0.045404380426340096
csv_norm_log,material_std_then_norm,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.021187301461172224,0.06402493821121935,0.06402493821121935
csv_norm_log,material_std_then_norm,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.016081410334830924,0.05903380332697927,0.05903380332697927
csv_norm_log,material_std_then_norm,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.021851614521529374,0.04881673393156183,0.04881673393156183
csv_norm_log,material_std_then_norm,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.019493870134406333,0.05484071669801216,0.036853440540049465
csv_norm_log,material_std_then_norm,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.018055085612846834,0.06807022677895092,0.04306142685278458
csv_norm_log,material_std_then_norm,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.02201488808893486,0.05465833081324889,0.029670940499599063
csv_norm_log,material_std_then_norm,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.021173669196456003,0.063990133623407,0.06390438271443588
csv_norm_log,material_std_then_norm,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.01619344680992609,0.058892002258998044,0.058770685262810485
csv_norm_log,material_std_then_norm,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.5}",0.021832030866941632,0.04873147350338769,0.048613849137736365
csv_norm_log,material_std_then_norm,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.021153171673786407,0.06394389280117507,0.06373236513309188
csv_norm_log,material_std_then_norm,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.46415888336127775)},0.019144866696948547,0.04083351539094393,0.04054949163894961
csv_norm_log,material_std_then_norm,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.8}",0.02109802515469896,0.04569074493810921,0.045404380426340096
csv_norm_log,material_norm_then_std,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.015821859585830732,0.0695212310323522,0.0695212310323522
csv_norm_log,material_norm_then_std,target_none,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.045795633186361775,0.019518134249957853,0.019518134249957853
